timestamp,gx,gy,gz,B,raw,label
1774145836.295562,8.737867,-0.004,3.772,9.517264,"8.737867,-0.004000,3.772000,9.517264",no_contact
1774145836.302159,8.737867,-0.0064,3.776533,9.519063,"8.737867,-0.006400,3.776533,9.519063",no_contact
1774145836.32685,8.737867,-0.005067,3.794667,9.526271,"8.737867,-0.005067,3.794667,9.526271",no_contact
1774145836.355165,8.737867,-0.011467,3.859467,9.552274,"8.737867,-0.011467,3.859467,9.552274",no_contact
1774145836.379891,8.737867,-0.0064,3.8536,9.549901,"8.737867,-0.006400,3.853600,9.549901",no_contact
1774145836.404576,8.737867,0.0,3.790933,9.524784,"8.737867,0.000000,3.790933,9.524784",no_contact
1774145836.4292748,8.737867,-0.002133,3.866933,9.555287,"8.737867,-0.002133,3.866933,9.555287",no_contact
1774145836.454102,8.737867,-0.006133,3.870667,9.556799,"8.737867,-0.006133,3.870667,9.556799",no_contact
1774145836.482199,8.737867,-0.006133,3.872533,9.557556,"8.737867,-0.006133,3.872533,9.557556",no_contact
1774145836.506968,8.737867,-0.008533,3.862667,9.553565,"8.737867,-0.008533,3.862667,9.553565",no_contact
1774145836.53158,8.737867,-0.012,3.705333,9.491046,"8.737867,-0.012000,3.705333,9.491046",no_contact
1774145836.55619,8.737867,-0.009867,3.864267,9.554212,"8.737867,-0.009867,3.864267,9.554212",no_contact
1774145836.5812411,8.737867,-0.0096,3.698667,9.488443,"8.737867,-0.009600,3.698667,9.488443",no_contact
1774145836.648996,8.737867,-0.0144,3.6824,9.48212,"8.737867,-0.014400,3.682400,9.482120",no_contact
1774145836.649767,8.737867,-0.007467,3.859733,9.552377,"8.737867,-0.007467,3.859733,9.552377",no_contact
1774145836.694761,8.737867,-0.007467,3.791733,9.525105,"8.737867,-0.007467,3.791733,9.525105",no_contact
1774145836.697942,8.737867,-0.005067,3.7096,9.492707,"8.737867,-0.005067,3.709600,9.492707",no_contact
1774145836.707697,8.737867,-0.005067,3.6456,9.46788,"8.737867,-0.005067,3.645600,9.467880",no_contact
1774145836.7360508,8.737867,-0.0064,3.7256,9.498971,"8.737867,-0.006400,3.725600,9.498971",no_contact
1774145836.760767,8.737867,-0.009867,3.873333,9.557883,"8.737867,-0.009867,3.873333,9.557883",no_contact
1774145836.785513,8.737867,-0.002933,3.793867,9.525952,"8.737867,-0.002933,3.793867,9.525952",no_contact
1774145836.810226,8.737867,-0.005067,3.7136,9.49427,"8.737867,-0.005067,3.713600,9.494270",no_contact
1774145836.8346481,8.737867,-0.005067,3.795467,9.52659,"8.737867,-0.005067,3.795467,9.526590",no_contact
1774145836.863082,8.737867,-0.0064,3.867733,9.555612,"8.737867,-0.006400,3.867733,9.555612",no_contact
1774145836.8877718,8.737867,-0.008,3.790667,9.524681,"8.737867,-0.008000,3.790667,9.524681",no_contact
1774145836.912596,8.737867,-0.006933,3.786667,9.523088,"8.737867,-0.006933,3.786667,9.523088",no_contact
1774145836.937354,8.737867,-0.004,3.861867,9.553237,"8.737867,-0.004000,3.861867,9.553237",no_contact
1774145836.961983,8.737867,-0.0024,3.793867,9.525952,"8.737867,-0.002400,3.793867,9.525952",no_contact
1774145836.990039,8.737867,-0.009067,3.631733,9.462553,"8.737867,-0.009067,3.631733,9.462553",no_contact
1774145837.046546,8.737867,-0.013067,3.613333,9.45551,"8.737867,-0.013067,3.613333,9.455510",no_contact
1774145837.046944,8.737867,-0.007467,3.7696,9.516315,"8.737867,-0.007467,3.769600,9.516315",no_contact
1774145837.0695832,8.737867,-0.005867,3.7816,9.521075,"8.737867,-0.005867,3.781600,9.521075",no_contact
1774145837.088647,8.737867,-0.003467,3.778933,9.520014,"8.737867,-0.003467,3.778933,9.520014",no_contact
1774145837.117005,8.737867,-0.009333,3.778667,9.519912,"8.737867,-0.009333,3.778667,9.519912",no_contact
1774145837.1416671,8.737867,-0.007467,3.864533,9.554318,"8.737867,-0.007467,3.864533,9.554318",no_contact
1774145837.1664052,8.737867,-0.0024,3.786933,9.523193,"8.737867,-0.002400,3.786933,9.523193",no_contact
1774145837.191076,8.737867,-0.0056,3.688533,9.484494,"8.737867,-0.005600,3.688533,9.484494",no_contact
1774145837.215755,8.737867,-0.004533,3.862933,9.553669,"8.737867,-0.004533,3.862933,9.553669",no_contact
1774145837.2440362,8.737867,-0.006933,3.783467,9.521817,"8.737867,-0.006933,3.783467,9.521817",no_contact
1774145837.268828,8.737867,-0.004,3.786933,9.523193,"8.737867,-0.004000,3.786933,9.523193",no_contact
1774145837.29356,8.737867,-0.009867,3.852267,9.549365,"8.737867,-0.009867,3.852267,9.549365",no_contact
1774145837.318194,8.737867,-0.005067,3.858667,9.551945,"8.737867,-0.005067,3.858667,9.551945",no_contact
1774145837.342744,8.737867,-0.008533,3.856533,9.551086,"8.737867,-0.008533,3.856533,9.551086",no_contact
1774145837.371079,8.737867,-0.014933,3.769067,9.516113,"8.737867,-0.014933,3.769067,9.516113",no_contact
1774145837.421491,8.737867,-0.007467,3.700533,9.489169,"8.737867,-0.007467,3.700533,9.489169",no_contact
1774145837.422624,8.737867,-0.002933,3.866933,9.555287,"8.737867,-0.002933,3.866933,9.555287",no_contact
1774145837.445745,8.737867,-0.0056,3.7896,9.524254,"8.737867,-0.005600,3.789600,9.524254",no_contact
1774145837.469506,8.737867,-0.004533,3.7888,9.523936,"8.737867,-0.004533,3.788800,9.523936",no_contact
1774145837.497942,8.737867,0.001867,3.622933,9.459174,"8.737867,0.001867,3.622933,9.459174",no_contact
1774145837.5225532,8.737867,0.0,3.703733,9.490414,"8.737867,0.000000,3.703733,9.490414",no_contact
1774145837.5472078,8.737867,-0.006933,3.782667,9.521498,"8.737867,-0.006933,3.782667,9.521498",no_contact
1774145837.571881,8.737867,-0.009867,3.715467,9.495005,"8.737867,-0.009867,3.715467,9.495005",no_contact
1774145837.596628,8.737867,-0.000533,3.782933,9.521602,"8.737867,-0.000533,3.782933,9.521602",no_contact
1774145837.624948,8.737867,-0.003467,3.7808,9.520755,"8.737867,-0.003467,3.780800,9.520755",no_contact
1774145837.649663,8.737867,-0.004533,3.785867,9.522769,"8.737867,-0.004533,3.785867,9.522769",no_contact
1774145837.674464,8.737867,-0.002933,3.792,9.525208,"8.737867,-0.002933,3.792000,9.525208",no_contact
1774145837.699216,8.737867,-0.001867,3.862933,9.553668,"8.737867,-0.001867,3.862933,9.553668",no_contact
1774145837.7237918,8.737867,-0.005867,3.782667,9.521498,"8.737867,-0.005867,3.782667,9.521498",no_contact
1774145837.7939389,8.737867,-0.005867,3.8616,9.553132,"8.737867,-0.005867,3.861600,9.553132",no_contact
1774145837.794867,8.737867,-0.005067,3.864533,9.554316,"8.737867,-0.005067,3.864533,9.554316",no_contact
1774145839.900592,8.737867,-0.005067,3.858667,9.551945,"8.737867,-0.005067,3.858667,9.551945",no_contact
1774145839.910333,8.737867,0.0008,3.856,9.550867,"8.737867,0.000800,3.856000,9.550867",no_contact
1774145839.935044,8.737867,0.0008,3.866933,9.555286,"8.737867,0.000800,3.866933,9.555286",no_contact
1774145839.9596758,8.737867,-0.002133,3.863733,9.553992,"8.737867,-0.002133,3.863733,9.553992",no_contact
1774145839.984305,8.737867,0.001867,3.7848,9.522344,"8.737867,0.001867,3.784800,9.522344",no_contact
1774145840.0126169,8.737867,-0.0016,3.7128,9.493956,"8.737867,-0.001600,3.712800,9.493956",no_contact
1774145840.037324,8.737867,-0.010933,3.7832,9.521715,"8.737867,-0.010933,3.783200,9.521715",no_contact
1774145840.061988,8.737867,-0.016,3.854133,9.550127,"8.737867,-0.016000,3.854133,9.550127",no_contact
1774145840.086785,8.737867,-0.009867,3.864267,9.554212,"8.737867,-0.009867,3.864267,9.554212",no_contact
1774145840.111423,8.737867,-0.0056,3.859733,9.552376,"8.737867,-0.005600,3.859733,9.552376",no_contact
1774145840.139591,8.737867,-0.006933,3.863733,9.553994,"8.737867,-0.006933,3.863733,9.553994",no_contact
1774145840.164305,8.737867,-0.009067,3.792533,9.525424,"8.737867,-0.009067,3.792533,9.525424",no_contact
1774145840.1890109,8.737867,-0.011467,3.7712,9.516953,"8.737867,-0.011467,3.771200,9.516953",no_contact
1774145840.2417622,8.737867,-0.010933,3.7824,9.521396,"8.737867,-0.010933,3.782400,9.521396",no_contact
1774145840.241908,8.737867,-0.003733,3.862933,9.553669,"8.737867,-0.003733,3.862933,9.553669",no_contact
1774145840.266559,8.737867,-0.000533,3.865867,9.554855,"8.737867,-0.000533,3.865867,9.554855",no_contact
1774145840.291295,8.737867,-0.003467,3.850933,9.548823,"8.737867,-0.003467,3.850933,9.548823",no_contact
1774145840.349482,8.737867,-0.008,3.855733,9.550763,"8.737867,-0.008000,3.855733,9.550763",no_contact
